Timestamp,Temp1(C),Temp2(C),Weight1(kg),Weight2(kg)
2025-11-08 01:54:57.574,29.80,27.30,30.1452,15.1780
2025-11-08 01:54:59.568,29.80,27.30,30.1431,15.1770
2025-11-08 01:55:01.570,29.80,27.30,30.1419,15.1750
2025-11-08 01:55:03.569,29.80,27.30,30.1406,15.1732
2025-11-08 01:55:05.573,29.80,27.30,30.1384,15.1727
2025-11-08 01:55:07.576,29.80,27.30,30.1372,15.1720
2025-11-08 01:55:09.569,29.80,27.30,30.1339,15.1704
2025-11-08 01:55:11.573,29.80,27.30,30.1323,15.1686
2025-11-08 01:55:13.568,29.80,27.30,30.1303,15.1672
2025-11-08 01:55:15.577,29.80,27.30,30.1278,15.1661
